#bins=4
10000	290
9500	691
9000	548
8500	848
#items=99
7461	5
7425	91
7418	80
7398	81
7368	74
7352	47
7285	29
7266	66
7203	51
7108	37
7063	17
6988	74
6877	13
6786	82
6746	47
6591	42
6443	46
6420	20
6377	37
6285	81
6148	60
6089	11
5939	99
5811	55
5786	44
5742	1
5691	66
5686	56
5658	95
5600	33
5554	86
5452	44
5365	94
5344	21
5304	97
5246	34
5141	32
4856	98
4839	71
4838	16
4764	46
4711	89
4601	56
4565	71
4327	20
4308	93
4298	97
4248	65
4056	63
4020	21
4015	47
3981	71
3956	71
3919	49
3879	64
3850	17
3836	37
3745	93
3705	37
3698	82
3570	14
3524	25
3246	75
3177	20
3030	64
3019	93
2920	39
2804	52
2697	92
2547	98
2466	50
2393	98
2269	77
1900	50
1497	36
1421	86
1340	5
1334	90
1292	89
1289	20
1254	29
1234	77
1189	43
1153	46
1071	6
905	68
864	72
850	80
804	78
682	28
584	78
440	94
351	4
283	32
282	52
241	47
230	50
143	14
68	44
