#bins=72
246	1
192	1
187	1
173	1
164	1
150	1
144	1
140	1
139	2
137	2
126	2
122	1
121	1
120	2
119	1
118	1
112	2
109	3
108	1
105	1
104	3
102	3
100	1
99	1
95	1
94	4
90	3
88	1
87	1
86	1
84	6
83	1
82	1
81	1
80	3
79	1
78	2
77	3
75	2
74	1
73	2
72	1
71	2
70	2
69	1
67	1
66	1
65	1
63	1
62	4
58	3
57	2
55	2
54	3
53	3
52	2
51	2
49	1
48	1
47	1
46	2
44	1
43	2
42	3
41	1
40	2
39	1
38	1
35	1
32	1
31	1
26	1
#items=29
38	1
37	2
36	2
35	3
34	6
33	3
32	15
31	9
30	22
29	12
28	20
27	11
26	19
25	22
24	21
23	15
22	29
21	22
20	22
19	22
18	27
17	25
16	24
15	24
14	33
13	23
12	22
11	13
10	11
