#bins=7
250	59
220	58
190	58
160	58
130	58
100	58
70	58
#items=208
249	3
248	4
246	2
245	3
244	3
243	3
242	3
241	1
240	5
239	3
238	3
237	1
236	1
235	3
233	6
232	1
231	2
229	3
228	1
227	1
226	3
225	5
224	4
223	1
222	2
220	4
217	5
216	4
215	3
214	2
213	2
212	5
211	3
210	2
209	1
208	4
206	4
204	1
203	7
202	1
201	2
199	4
197	2
195	5
194	2
193	2
192	2
191	2
190	2
188	3
187	3
186	1
185	3
184	1
182	1
181	3
180	4
179	2
178	4
177	1
176	2
175	2
174	2
173	4
172	5
171	4
170	2
169	1
167	2
166	2
165	2
164	1
163	2
162	5
161	3
159	1
158	1
157	6
156	2
155	3
154	3
153	2
152	2
151	5
150	2
149	2
148	4
147	2
143	2
142	2
141	1
140	3
138	1
137	1
136	3
134	2
133	4
132	1
131	1
130	1
129	4
127	2
125	2
124	2
123	1
122	1
121	1
120	2
118	3
117	2
115	4
114	1
113	3
112	1
111	2
110	3
109	1
108	2
105	3
104	1
102	1
101	1
100	1
99	2
98	4
97	2
96	2
95	5
94	3
93	4
92	5
90	3
88	3
87	4
86	3
85	2
84	1
83	2
82	3
81	1
80	2
79	1
78	1
77	3
76	1
75	3
74	8
73	1
71	3
70	3
69	2
68	2
67	1
66	1
65	1
64	1
61	1
59	1
58	2
57	1
56	3
55	1
54	4
52	2
51	2
50	4
49	1
48	1
46	1
45	4
44	5
42	3
40	1
38	1
37	3
36	1
35	3
34	1
32	1
31	2
30	3
29	3
28	1
27	3
26	1
25	2
24	1
23	2
22	3
21	3
20	7
19	1
18	1
17	1
16	2
15	1
14	3
13	4
12	2
11	2
10	1
9	4
7	1
6	4
4	4
3	1
2	2
1	1
